Frecuencia(Hz)	Magnitud(V)
0.00	0.00281
28.49	0.00504
56.97	0.01164
85.46	0.03847
113.95	0.04345
142.43	0.01786
170.92	0.01188
199.40	0.00871
227.89	0.00720
256.38	0.00608
284.86	0.00531
313.35	0.00472
341.84	0.00437
370.32	0.00409
398.81	0.00378
427.29	0.00338
455.78	0.00330
484.27	0.00308
512.75	0.00298
541.24	0.00288
569.73	0.00276
598.21	0.00266
626.70	0.00262
655.18	0.00245
683.67	0.00248
712.16	0.00243
740.64	0.00235
769.13	0.00234
797.62	0.00232
826.10	0.00242
854.59	0.00228
883.07	0.00224
